Index,City,State,Date,avgHigh (F),avgLow (F),avgUV,totalSun (hrs),avgSun (hrs),totalSnow (cm),avgSnow (cm)
200,Warren,Michigan,2017/6,78.17,63.67,0,456.2,15.21,0,0
200,Warren,Michigan,2017/7,84.65,71.13,0,413.2,13.33,0,0
200,Warren,Michigan,2017/8,81.84,68.61,0,318.5,10.27,0,0
200,Warren,Michigan,2017/9,73.2,58.73,0,281.9,9.4,0,0
200,Warren,Michigan,2017/10,61.29,50.03,0,247,7.97,1.3,0.04
200,Warren,Michigan,2017/11,41.47,34.03,0,205.4,6.85,3,0.1
200,Warren,Michigan,2017/12,27.65,21.61,0,179.6,5.79,15.5,0.5
200,Warren,Michigan,2018/1,28.77,20.06,0,195.1,6.29,19.8,0.64
200,Warren,Michigan,2018/2,35.64,25.32,0,207.4,7.41,24.2,0.86
200,Warren,Michigan,2018/3,40.61,28.68,0,272.6,8.79,10.3,0.33
200,Warren,Michigan,2018/4,47.63,34,0,262.5,8.75,6,0.2
200,Warren,Michigan,2018/5,72.29,57.03,0,329,10.61,0,0
200,Warren,Michigan,2018/6,77.1,64.53,0,438.1,14.6,0,0
201,Charleston,South Carolina,2017/6,81.63,74.4,0,319.8,10.66,0,0
201,Charleston,South Carolina,2017/7,94.03,82.68,0,343.3,11.07,0,0
201,Charleston,South Carolina,2017/8,90.39,81.29,0,309.8,9.99,0,0
201,Charleston,South Carolina,2017/9,84.37,73.1,0,304.7,10.16,0,0
201,Charleston,South Carolina,2017/10,75.48,64.55,0,291.1,9.39,0,0
201,Charleston,South Carolina,2017/11,65.57,52.13,0,268.8,8.96,0,0
201,Charleston,South Carolina,2017/12,54.77,46.45,0,238.3,7.69,0,0
201,Charleston,South Carolina,2018/1,50.94,36.84,0,266.9,8.61,7.6,0.25
201,Charleston,South Carolina,2018/2,66.46,53.93,0,241.2,8.61,0,0
201,Charleston,South Carolina,2018/3,63.23,47.29,0,300.8,9.7,0,0
201,Charleston,South Carolina,2018/4,69.27,54.97,0,311.8,10.39,0,0
201,Charleston,South Carolina,2018/5,78.45,70,0,314.8,10.15,0,0
201,Charleston,South Carolina,2018/6,85.5,77,0,291.5,9.72,0,0
202,Hampton,Virginia,2017/6,80.73,71.03,0,420.3,14.01,0,0
202,Hampton,Virginia,2017/7,90.19,79.97,0,403.5,13.02,0,0
202,Hampton,Virginia,2017/8,84.39,76.58,0,298.5,9.63,0,0
202,Hampton,Virginia,2017/9,76.97,68.03,0,278.9,9.3,0,0
202,Hampton,Virginia,2017/10,70.52,60.48,0,278.4,8.98,0,0
