Index,City,State,Date,avgHigh (F),avgLow (F),avgUV,totalSun (hrs),avgSun (hrs),totalSnow (cm),avgSnow (cm),totalRainfall (in), avgRainfall (in),humidity %,pressure (mb),windSpeed (mph)
200,Warren,Michigan,2017/6,78.17,63.67,0,456.2,15.21,0,0,4.42,0.15,60.2,1011.73,15.83
200,Warren,Michigan,2017/7,84.65,71.13,0,413.2,13.33,0,0,2.66,0.09,69.81,1015.32,10.9
200,Warren,Michigan,2017/8,81.84,68.61,0,318.5,10.27,0,0,3.05,0.1,64.45,1016.13,10.55
200,Warren,Michigan,2017/9,73.2,58.73,0,281.9,9.4,0,0,1.41,0.05,76.83,1017.67,8.47
200,Warren,Michigan,2017/10,61.29,50.03,0,247,7.97,0,0,2.5,0.08,78.52,1016.48,12.58
200,Warren,Michigan,2017/11,41.47,34.03,0,205.4,6.85,0,0,3.31,0.11,82.93,1019.07,13.13
200,Warren,Michigan,2017/12,27.65,21.61,0,179.6,5.79,8.7,0.28,0.98,0.03,81.13,1018.9,12.35
200,Warren,Michigan,2018/1,28.77,20.06,0,195.1,6.29,26.2,0.85,2.15,0.07,72.29,1021.84,14.52
200,Warren,Michigan,2018/2,35.64,25.32,0,207.4,7.41,27.7,0.99,3.31,0.12,76.14,1021.57,12.54
200,Warren,Michigan,2018/3,40.61,28.68,0,272.6,8.79,7.1,0.23,2.57,0.08,65.77,1018.26,12.71
200,Warren,Michigan,2018/4,47.63,34,0,262.5,8.75,2.4,0.08,3.32,0.11,63.77,1016.07,11.8
200,Warren,Michigan,2018/5,72.29,57.03,0,329,10.61,0,0,4.14,0.13,63.81,1015.61,11.19
200,Warren,Michigan,2018/6,77.1,64.53,0,438.1,14.6,0,0,3.17,0.11,64.17,1013.87,10.8
201,Charleston,South Carolina,2017/6,81.63,74.4,0,319.8,10.66,0,0,5.07,0.17,79.9,1015.9,10.47
201,Charleston,South Carolina,2017/7,94.03,82.68,0,343.3,11.07,0,0,7.8,0.25,71.45,1016.39,11
201,Charleston,South Carolina,2017/8,90.39,81.29,0,309.8,9.99,0,0,9.02,0.29,76.16,1015.84,12.48
201,Charleston,South Carolina,2017/9,84.37,73.1,0,304.7,10.16,0,0,4.65,0.15,74,1014.77,12.6
201,Charleston,South Carolina,2017/10,75.48,64.55,0,291.1,9.39,0,0,1.12,0.04,72.65,1018.87,13
201,Charleston,South Carolina,2017/11,65.57,52.13,0,268.8,8.96,0,0,1.47,0.05,73.97,1019.77,10.6
201,Charleston,South Carolina,2017/12,54.77,46.45,0,238.3,7.69,0,0,3.39,0.11,73.29,1020.55,12.19
201,Charleston,South Carolina,2018/1,50.94,36.84,0,266.9,8.61,0,0,3.06,0.1,69.39,1025.23,12.97
201,Charleston,South Carolina,2018/2,66.46,53.93,0,241.2,8.61,0,0,1.15,0.04,83.43,1024.46,13.29
201,Charleston,South Carolina,2018/3,63.23,47.29,0,300.8,9.7,0,0,4.85,0.16,64.71,1017.19,15.29
201,Charleston,South Carolina,2018/4,69.27,54.97,0,311.8,10.39,0,0,9.17,0.31,70,1017.8,14.73
201,Charleston,South Carolina,2018/5,78.45,70,0,314.8,10.15,0,0,7.19,0.23,79.48,1017.55,11.16
201,Charleston,South Carolina,2018/6,85.5,77,0,291.5,9.72,0,0,6.69,0.22,79.07,1014.6,9.83
202,Hampton,Virginia,2017/6,80.73,71.03,0,420.3,14.01,0,0,4.02,0.13,74.1,1014.73,16.2
202,Hampton,Virginia,2017/7,90.19,79.97,0,403.5,13.02,0,0,7.76,0.25,73.03,1015,15.32
202,Hampton,Virginia,2017/8,84.39,76.58,0,298.5,9.63,0,0,8.51,0.27,76.19,1016.58,15.29
202,Hampton,Virginia,2017/9,76.97,68.03,0,278.9,9.3,0,0,2.18,0.07,79.8,1015.97,17.43
202,Hampton,Virginia,2017/10,70.52,60.48,0,278.4,8.98,0,0,1.78,0.06,79.42,1019.48,15.97
202,Hampton,Virginia,2017/11,55.9,46.47,0,209.1,6.97,0,0,2.09,0.07,77.9,1020.5,16.03
202,Hampton,Virginia,2017/12,44.45,36.48,0,199,6.42,1.4,0.05,3.21,0.1,73.61,1020.19,16.94
202,Hampton,Virginia,2018/1,43.26,29.06,0,266.5,8.6,4.2,0.14,4.34,0.14,66.94,1024.61,20.29
202,Hampton,Virginia,2018/2,55.96,44.86,0,234.1,8.36,0,0,3.6,0.13,77.61,1024.61,20.93
202,Hampton,Virginia,2018/3,50.97,40.03,0,285.4,9.21,15.7,0.51,6.03,0.19,65.9,1015.29,21.29
202,Hampton,Virginia,2018/4,62.67,50.53,0,303.8,10.13,0,0,5.46,0.18,64.07,1016.8,22.53
202,Hampton,Virginia,2018/5,79,68.37,0,350.3,11.3,0,0,10.26,0.34,73.7,1017.3,18.93
202,Hampton,Virginia,2018/6,81.73,73.87,0,397.2,13.24,0,0,6.1,0.2,76.7,1014.2,13.9
203,Surprise,Arizona,2017/6,104.77,77.67,0,426,14.2,0,0,0.01,0,14.3,1007.27,10.37
203,Surprise,Arizona,2017/7,104.9,86.32,0,434.5,14.02,0,0,2.56,0.08,30.13,1011.77,8.97
203,Surprise,Arizona,2017/8,104,83.81,0,412.9,13.32,0,0,0.35,0.01,28.81,1009.94,7.84
203,Surprise,Arizona,2017/9,95.37,75.23,0,335.7,11.19,0,0,0,0,29.3,1008.6,8.8
203,Surprise,Arizona,2017/10,90.13,64.94,0,292.6,9.44,0,0,0,0,22.29,1011,8.94
203,Surprise,Arizona,2017/11,79.3,57.17,0,235.6,7.85,0,0,0,0,31.47,1015,6.53
203,Surprise,Arizona,2017/12,68.65,44.55,0,233.2,7.52,0,0,0.2,0.01,26.23,1019.13,8.45
203,Surprise,Arizona,2018/1,68.71,46.1,0,256.9,8.29,0,0,0.68,0.02,36.74,1019.06,8.81
203,Surprise,Arizona,2018/2,67.32,45.25,0,291.8,10.42,0,0,0.68,0.02,40.07,1016.68,7.5
203,Surprise,Arizona,2018/3,72.45,50.9,0,339.9,10.96,0,0,0.18,0.01,31.1,1014.68,8.68
203,Surprise,Arizona,2018/4,86.23,60.17,0,370.6,12.35,0,0,0,0,17.37,1011.2,10.7
203,Surprise,Arizona,2018/5,93.29,66.77,0,428.2,13.81,0,0,0.04,0,17.61,1009.32,9.9
203,Surprise,Arizona,2018/6,99.97,75,0,420.2,14.01,0,0,0.09,0,17.17,1007.67,9.17
204,Columbia,South Carolina,2017/6,84.5,71.67,0,314.5,10.48,0,0,3.9,0.13,69.17,1015.67,10.4
204,Columbia,South Carolina,2017/7,95.48,80.94,0,347.2,11.2,0,0,4.96,0.16,68.77,1016.06,9.68
204,Columbia,South Carolina,2017/8,91.42,77.52,0,302.6,9.76,0,0,3.3,0.11,70.19,1016,8.23
204,Columbia,South Carolina,2017/9,83,66.8,0,290.6,9.69,0,0,3.48,0.12,71.7,1015.23,9.6
204,Columbia,South Carolina,2017/10,74.29,57.52,0,288.2,9.3,0,0,2.26,0.07,71.48,1019.19,10.19
204,Columbia,South Carolina,2017/11,61.9,46.33,0,264.3,8.81,0,0,0.86,0.03,69.97,1020.53,7.8
204,Columbia,South Carolina,2017/12,51.29,41.58,0,242.4,7.82,0,0,4.46,0.14,72.94,1020.71,9.61
204,Columbia,South Carolina,2018/1,50.97,32.65,0,257.1,8.29,7.5,0.24,3.19,0.1,58.61,1025.65,9.68
204,Columbia,South Carolina,2018/2,66.54,50.32,0,229.8,8.21,0,0,3.8,0.14,71.82,1024.21,11
204,Columbia,South Carolina,2018/3,63.13,44.65,0,303.4,9.79,0,0,3.73,0.12,57.52,1016.84,12.74
204,Columbia,South Carolina,2018/4,70.67,51.5,0,308.7,10.29,0,0,5.18,0.17,58.1,1017.27,12.57
204,Columbia,South Carolina,2018/5,82.77,67.68,0,295.7,9.54,0,0,8.18,0.26,67.65,1017.32,9.45
204,Columbia,South Carolina,2018/6,88.53,73.63,0,324.7,10.82,0,0,5.43,0.18,69.37,1014.1,7.97
205,Coral Springs,Florida,2017/6,84.93,78.27,0,318.9,10.63,0,0,5.31,0.18,76.3,1015.77,12.17
